"Fecha Tiempo, GMT-05:00","Temp, °C (SEN S/N: 20486630, LBL: Pared sur)","Temp, °C (SEN S/N: 20486630, LBL: Pared oeste)","Temp, °C (SEN S/N: 20486630, LBL: Pared norte)","Temp1 Max, °C","Temp1 Min, °C"
12/25/20 12:15:00,12.695,9.560,12.351,,
12/25/20 12:30:00,12.805,9.755,12.717,,
12/25/20 12:45:00,12.493,9.520,12.310,,
12/25/20 13:00:00,11.913,9.043,11.654,13.443,11.851
12/25/20 13:15:00,11.266,8.574,11.090,,
12/25/20 13:30:00,10.687,8.193,10.670,,
12/25/20 13:45:00,10.135,7.812,10.118,,
12/25/20 14:00:00,9.544,7.362,9.589,11.295,10.617
12/25/20 14:15:00,9.208,7.105,9.262,,
12/25/20 14:30:00,9.131,7.023,9.257,,
12/25/20 14:45:00,9.055,6.968,9.165,,
12/25/20 15:00:00,9.021,6.936,9.069,10.502,9.998
12/25/20 15:15:00,8.913,6.879,8.979,,
12/25/20 15:30:00,8.713,6.726,8.686,,
12/25/20 15:45:00,8.529,6.591,8.481,,
12/25/20 16:00:00,8.355,6.444,8.299,9.814,9.412
12/25/20 16:15:00,8.232,6.349,8.240,,
12/25/20 16:30:00,8.162,6.282,8.166,,
12/25/20 16:45:00,7.990,6.177,7.971,,
12/25/20 17:00:00,7.807,6.052,7.774,9.179,8.563
12/25/20 17:15:00,7.629,5.941,7.591,,
12/25/20 17:30:00,7.475,5.848,7.437,,
12/25/20 17:45:00,7.327,5.765,7.299,,
12/25/20 18:00:00,7.182,5.674,7.152,8.378,7.824
12/25/20 18:15:00,7.028,5.565,6.987,,
12/25/20 18:30:00,6.868,5.448,6.818,,
12/25/20 18:45:00,6.734,5.359,6.686,,
12/25/20 19:00:00,6.615,5.285,6.571,7.682,7.344
12/25/20 19:15:00,6.517,5.222,6.487,,
12/25/20 19:30:00,6.426,5.171,6.409,,
12/25/20 19:45:00,6.339,5.123,6.331,,
12/25/20 20:00:00,6.267,5.081,6.272,7.255,6.993
12/25/20 20:15:00,6.199,5.031,6.204,,
12/25/20 20:30:00,6.124,4.981,6.134,,
12/25/20 20:45:00,6.073,4.950,6.102,,
12/25/20 21:00:00,6.045,4.929,6.097,6.941,6.750
12/25/20 21:15:00,6.001,4.895,6.046,,
12/25/20 21:30:00,5.952,4.863,5.993,,
12/25/20 21:45:00,5.890,4.825,5.922,,
12/25/20 22:00:00,5.813,4.777,5.835,6.644,6.445
12/25/20 22:15:00,5.763,4.748,5.802,,
12/25/20 22:30:00,5.699,4.706,5.746,,
12/25/20 22:45:00,5.658,4.670,5.696,,
12/25/20 23:00:00,5.595,4.618,5.610,6.361,6.123
