Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ATICO CEN:Zone Mean Air Temperature [C](Hourly),ATICO E:Zone Mean Air Temperature [C](Hourly),MODULO:Zone Mean Air Temperature [C](Hourly),ATICO O:Zone Mean Air Temperature [C](Hourly),ATICO CEN:Zone Air System Sensible Heating Energy [J](Hourly),ATICO E:Zone Air System Sensible Heating Energy [J](Hourly),MODULO:Zone Air System Sensible Heating Energy [J](Hourly),ATICO O:Zone Air System Sensible Heating Energy [J](Hourly) 
 07/12  05:00:00,-11.675,-3.9608832526680048,-9.860633422565324,12.300000000000138,-10.115404896062892,0.0,0.0,2732106.4791153988,0.0 
 07/12  06:00:00,-11.6,-3.835765501311103,-9.97292630081341,12.30000000000016,-10.213092722338559,0.0,0.0,2828370.6549576309,0.0 
 07/12  07:00:00,-11.037499999999998,-0.7966850920313933,-5.68799735489665,12.299705464650242,-5.771969548129673,0.0,0.0,2692922.4040572855,0.0 
 07/12  08:00:00,-8.2,8.452306679256257,5.007308942200769,12.299842151470696,6.465680098509316,0.0,0.0,2131317.274732128,0.0 
 07/12  09:00:00,-1.3250000000000002,19.893045010478369,14.473964619289067,12.299203589294648,17.370012614359536,0.0,0.0,1618356.5997120096,0.0 
 07/12  10:00:00,4.5249999999999999,27.447563072587724,22.09954574972074,12.299140060746259,26.010552232052079,0.0,0.0,958987.6861091022,0.0 
 07/12  11:00:00,7.85,30.081803427643469,27.552634523757349,12.299638763004209,30.652248636285714,0.0,0.0,436802.26460228659,0.0 
 07/12  12:00:00,10.15,27.320619867370856,28.83883424361386,12.300466226730814,30.517693974930745,0.0,0.0,164991.2893687195,0.0 
 07/12  13:00:00,11.462500000000003,22.917976842783664,27.78910725462066,12.30000000000014,28.100234719078299,0.0,0.0,0.0,0.0 
 07/12  14:00:00,12.175,21.32893836196631,26.31068423506533,12.299999865818382,25.96584194642063,0.0,0.0,0.0,0.0 
 07/12  15:00:00,12.337500000000003,20.11507568327992,23.773169852954923,12.30000000935146,22.528495648336646,0.0,0.0,48574.39361006685,0.0 
 07/12  16:00:00,11.4875,16.266105021235359,17.74968492238545,12.299999631546032,16.133086647728758,0.0,0.0,507859.62773018187,0.0 
 07/12  17:00:00,9.25,11.64672307127953,10.239054004117234,12.299996839437203,9.563077399737697,0.0,0.0,1305366.2978926055,0.0 
 07/12  18:00:00,5.575,8.441870504820479,5.4797885772461,12.299982229524872,5.163000743787688,0.0,0.0,1785392.3444604795,0.0 
 07/12  19:00:00,1.8749999999999998,5.135823273661833,1.982181487138347,12.299982701256628,1.688028409415755,0.0,0.0,1993104.250527048,0.0 
 07/12  20:00:00,-0.275,3.494646864621381,-0.20583286806096186,12.299968080021186,-0.4983030075178995,0.0,0.0,2170810.478954717,0.0 
 07/12  21:00:00,-1.1749999999999999,2.1546539869559018,-1.412047575037364,12.299999999973967,-1.7024481422232103,0.0,0.0,2182441.411113088,0.0 
 07/12  22:00:00,-2.9625,1.2298226779212805,-2.535353406682926,12.29995863779617,-2.816800478546472,0.0,0.0,2250500.679174847,0.0 
 07/12  23:00:00,-3.7750000000000005,0.40538818760617337,-3.662644086074767,12.300501729891387,-3.9355995722252086,0.0,0.0,2292036.89178208,0.0 
 07/12  24:00:00,-4.0125,-0.24194455680184052,-4.394633387256616,12.300000024830169,-4.668786755662406,0.0,0.0,2270052.048995549,0.0 
 07/13  01:00:00,-5.387499999999999,-0.47416550337367149,-4.957273887784496,12.300000000000985,-5.214890649082979,0.0,0.0,2361383.2298470695,0.0 
 07/13  02:00:00,-6.6625,-1.13268860797222,-5.888341418080776,12.300000000000285,-6.132102852079775,0.0,0.0,2426907.085322427,0.0 
 07/13  03:00:00,-7.187500000000001,-1.6163273972021637,-6.646512162631636,12.300000000000239,-6.88400598442118,0.0,0.0,2485111.589882724,0.0 
 07/13  04:00:00,-7.799999999999999,-1.9583392549358068,-7.061515011255193,12.300000000000065,-7.286265441743592,0.0,0.0,2535694.964786614,0.0 
 07/13  05:00:00,-8.474999999999998,-2.3184179323597604,-7.58970325838832,12.300000000000125,-7.803949201385853,0.0,0.0,2604843.5488532076,0.0 
 07/13  06:00:00,-8.95,-2.5336587166350359,-8.043659322462782,12.300000000000218,-8.248553960048803,0.0,0.0,2690644.9231155898,0.0 
 07/13  07:00:00,-9.35,0.219997400777044,-4.221427361283472,12.2995075964283,-4.267638901370951,0.0,0.0,2583605.0354050456,0.0 
 07/13  08:00:00,-6.75,9.392409298742387,6.1226059977299169,12.299863702157622,7.628135479513025,0.0,0.0,2058496.9096725509,0.0 
 07/13  09:00:00,-0.8499999999999999,20.964750347270966,16.359611083492067,12.29884650085424,19.24720737412204,0.0,0.0,1459528.4784928065,0.0 
 07/13  10:00:00,4.325000000000001,28.79977544444277,24.779941422442997,12.2985585509559,28.47067247122157,0.0,0.0,810796.1408181724,0.0 
 07/13  11:00:00,7.2125,30.950623695030364,29.489899034693367,12.301587625331356,32.472635992565148,0.0,0.0,367777.93040808508,0.0 
 07/13  12:00:00,8.875,29.134830984988626,30.245283179115107,12.30153456813823,31.82042612348583,0.0,0.0,55680.933045036036,0.0 
 07/13  13:00:00,10.025,26.024734586904399,29.133611020591326,12.300600945876479,29.420388795370799,0.0,0.0,0.0,0.0 
 07/13  14:00:00,11.0875,22.145327052236185,26.19141058867563,12.300231913679437,25.873355136430314,0.0,0.0,0.0,0.0 
 07/13  15:00:00,10.6875,18.371798265555876,22.641389752711484,12.29999911728099,21.49542649792395,0.0,0.0,161159.3591326726,0.0 
 07/13  16:00:00,8.7,14.26893781662544,15.24981843936417,12.29999794037159,13.691792140284012,0.0,0.0,925622.2812466028,0.0 
 07/13  17:00:00,6.2375,11.191850194619282,7.9581716911876019,12.29999235252039,7.334694639412838,0.0,0.0,1945335.9071787606,0.0 
