date,To,Ig,RH,P,WS,WD
2023-04-09 02:00:00,-1.9,0.0,76.0,29.807,1.0,292.5
2023-04-09 03:00:00,-0.9,0.0,64.0,29.794,1.0,315.0
2023-04-09 04:00:00,-3.2,0.0,79.0,29.792,0.0,337.5
2023-04-09 05:00:00,-1.8,12.0,68.0,29.824,0.0,315.0
2023-04-09 06:00:00,0.6,188.0,68.0,29.828,1.0,292.5
2023-04-09 07:00:00,5.6,450.0,53.0,29.828,0.0,270.0
2023-04-09 08:00:00,7.7,664.0,37.0,29.845,3.0,90.0
2023-04-09 09:00:00,9.8,833.0,28.0,29.845,6.0,67.5
2023-04-09 10:00:00,11.4,936.0,27.0,29.811,6.0,67.5
2023-04-09 11:00:00,12.9,966.0,23.0,29.779,6.0,45.0
2023-04-09 12:00:00,13.5,916.0,24.0,29.748,6.0,45.0
2023-04-09 13:00:00,13.3,801.0,26.0,29.708,10.0,67.5
2023-04-09 14:00:00,12.8,621.0,30.0,29.682,12.0,45.0
2023-04-09 15:00:00,10.9,387.0,37.0,29.677,17.0,45.0
2023-04-09 16:00:00,7.6,128.0,50.0,29.706,18.0,45.0
2023-04-09 17:00:00,4.7,3.0,56.0,29.76,12.0,45.0
2023-04-09 18:00:00,3.0,0.0,67.0,29.797,6.0,67.5
2023-04-09 19:00:00,2.6,0.0,60.0,29.819,7.0,67.5
2023-04-09 20:00:00,1.0,0.0,74.0,29.83,6.0,45.0
2023-04-09 21:00:00,-0.4,0.0,83.0,29.818,1.0,67.5
2023-04-09 22:00:00,-0.8,0.0,83.0,29.841,2.0,67.5
2023-04-09 23:00:00,-1.3,0.0,79.0,29.836,2.0,67.5
2023-04-10 00:00:00,-2.3,0.0,79.0,29.814,3.0,67.5
2023-04-10 01:00:00,-1.4,0.0,82.0,29.8,2.0,67.5
2023-04-10 02:00:00,-2.8,0.0,79.0,29.816,1.0,45.0
2023-04-10 03:00:00,-2.9,0.0,78.0,29.82,1.0,292.5
2023-04-10 04:00:00,-4.4,0.0,83.0,29.842,2.0,315.0
2023-04-10 05:00:00,-3.8,10.0,80.0,29.859,3.0,315.0
2023-04-10 06:00:00,-0.7,182.0,79.0,29.875,2.0,315.0
2023-04-10 07:00:00,4.8,441.0,53.0,29.866,2.0,292.5
2023-04-10 08:00:00,8.1,659.0,30.0,29.892,0.0,180.0
2023-04-10 09:00:00,10.4,828.0,26.0,29.876,1.0,202.5
2023-04-10 10:00:00,10.9,929.0,25.0,29.836,3.0,45.0
2023-04-10 11:00:00,12.8,955.0,24.0,29.805,4.0,315.0
2023-04-10 12:00:00,13.7,906.0,23.0,29.775,4.0,315.0
2023-04-10 13:00:00,13.2,634.0,23.0,29.75,4.0,292.5
2023-04-10 14:00:00,12.6,371.0,29.0,29.742,12.0,45.0
2023-04-10 15:00:00,11.3,374.0,33.0,29.751,16.0,45.0
2023-04-10 16:00:00,9.0,126.0,38.0,29.768,16.0,45.0
2023-04-10 17:00:00,5.9,3.0,52.0,29.781,9.0,45.0
2023-04-10 18:00:00,4.2,0.0,53.0,29.808,5.0,90.0
2023-04-10 19:00:00,3.2,0.0,57.0,29.836,3.0,67.5
2023-04-10 20:00:00,2.7,0.0,48.0,29.869,4.0,67.5
2023-04-10 21:00:00,1.5,0.0,57.0,29.868,2.0,45.0
2023-04-10 22:00:00,-0.5,0.0,71.0,29.86,1.0,292.5
2023-04-10 23:00:00,-0.7,0.0,72.0,29.843,2.0,315.0
2023-04-11 00:00:00,-1.7,0.0,72.0,29.827,2.0,337.5
2023-04-11 01:00:00,-3.7,0.0,80.0,29.815,1.0,337.5
2023-04-11 02:00:00,-2.9,0.0,70.0,29.822,3.0,0.0
2023-04-11 03:00:00,-4.8,0.0,80.0,29.823,0.0,315.0
2023-04-11 04:00:00,-5.2,0.0,78.0,29.827,1.0,315.0
2023-04-11 05:00:00,-4.3,7.0,76.0,29.846,2.0,315.0
2023-04-11 06:00:00,-1.3,175.0,75.0,29.862,3.0,315.0
2023-04-11 07:00:00,3.8,447.0,63.0,29.853,1.0,292.5
2023-04-11 08:00:00,6.9,662.0,35.0,29.849,0.0,90.0
2023-04-11 09:00:00,8.8,829.0,32.0,29.85,3.0,67.5
2023-04-11 10:00:00,10.6,930.0,29.0,29.829,6.0,67.5
2023-04-11 11:00:00,11.8,955.0,25.0,29.802,7.0,45.0
2023-04-11 12:00:00,12.6,909.0,19.0,29.78,10.0,45.0
2023-04-11 13:00:00,13.2,795.0,23.0,29.758,10.0,45.0
2023-04-11 14:00:00,11.4,611.0,29.0,29.735,17.0,45.0
2023-04-11 15:00:00,9.6,387.0,43.0,29.776,18.0,45.0
2023-04-11 16:00:00,6.8,125.0,50.0,29.805,16.0,45.0
2023-04-11 17:00:00,4.1,3.0,60.0,29.832,9.0,67.5
2023-04-11 18:00:00,2.8,0.0,60.0,29.875,6.0,67.5
2023-04-11 19:00:00,2.1,0.0,64.0,29.907,3.0,45.0
2023-04-11 20:00:00,0.2,0.0,74.0,29.909,4.0,67.5
2023-04-11 21:00:00,-0.8,0.0,74.0,29.914,4.0,67.5
2023-04-11 22:00:00,-1.9,0.0,76.0,29.919,1.0,292.5
2023-04-11 23:00:00,-3.8,0.0,82.0,29.922,1.0,292.5
2023-04-12 00:00:00,-4.9,0.0,82.0,29.907,4.0,337.5
2023-04-12 01:00:00,-6.4,0.0,84.0,29.898,2.0,337.5
2023-04-12 02:00:00,-6.1,0.0,87.0,29.897,2.0,315.0
2023-04-12 03:00:00,-6.7,0.0,86.0,29.918,3.0,337.5
2023-04-12 04:00:00,-7.2,0.0,86.0,29.939,3.0,337.5
2023-04-12 05:00:00,-7.4,6.0,86.0,29.95,1.0,315.0
2023-04-12 06:00:00,-4.1,182.0,81.0,29.965,2.0,315.0
2023-04-12 07:00:00,0.6,454.0,68.0,29.962,3.0,292.5
2023-04-12 08:00:00,6.2,668.0,49.0,29.959,2.0,292.5
2023-04-12 09:00:00,10.1,837.0,20.0,29.97,1.0,270.0
2023-04-12 10:00:00,11.4,940.0,15.0,29.939,2.0,112.5
2023-04-12 11:00:00,12.4,961.0,18.0,29.918,3.0,315.0
2023-04-12 12:00:00,13.6,911.0,13.0,29.889,4.0,157.5
2023-04-12 13:00:00,13.2,797.0,10.0,29.88,8.0,337.5
2023-04-12 14:00:00,12.9,609.0,23.0,29.867,10.0,45.0
2023-04-12 15:00:00,11.1,379.0,28.0,29.861,18.0,45.0
2023-04-12 16:00:00,8.6,118.0,40.0,29.87,15.0,45.0
2023-04-12 17:00:00,4.9,3.0,56.0,29.883,7.0,67.5
2023-04-12 18:00:00,2.5,0.0,70.0,29.906,4.0,90.0
2023-04-12 19:00:00,1.9,0.0,68.0,29.932,3.0,67.5
2023-04-12 20:00:00,0.7,0.0,71.0,29.947,2.0,292.5
2023-04-12 21:00:00,-1.1,0.0,70.0,29.973,2.0,315.0
2023-04-12 22:00:00,-1.4,0.0,62.0,29.99,3.0,337.5
2023-04-12 23:00:00,-2.1,0.0,57.0,29.97,3.0,337.5
2023-04-13 00:00:00,-2.5,0.0,60.0,29.957,2.0,315.0
2023-04-13 01:00:00,-2.6,0.0,56.0,29.932,2.0,337.5
2023-04-13 02:00:00,-4.3,0.0,68.0,29.921,0.0,292.5
2023-04-13 03:00:00,-4.6,0.0,79.0,29.915,2.0,292.5
2023-04-13 04:00:00,-3.8,0.0,70.0,29.936,3.0,337.5
2023-04-13 05:00:00,-4.9,9.0,73.0,29.962,3.0,315.0
2023-04-13 06:00:00,-0.3,162.0,68.0,29.959,3.0,315.0
2023-04-13 07:00:00,4.9,436.0,56.0,29.945,4.0,292.5
2023-04-13 08:00:00,8.4,657.0,40.0,29.929,4.0,225.0
2023-04-13 09:00:00,10.4,820.0,27.0,29.932,7.0,225.0
2023-04-13 10:00:00,11.8,915.0,21.0,29.917,7.0,202.5
2023-04-13 11:00:00,12.8,940.0,23.0,29.892,5.0,202.5
2023-04-13 12:00:00,13.0,926.0,16.0,29.861,5.0,202.5
2023-04-13 13:00:00,13.6,787.0,14.0,29.844,5.0,315.0
2023-04-13 14:00:00,14.1,611.0,13.0,29.825,4.0,202.5
2023-04-13 15:00:00,12.1,395.0,25.0,29.802,6.0,45.0
2023-04-13 16:00:00,9.2,116.0,36.0,29.833,17.0,45.0
2023-04-13 17:00:00,5.7,3.0,39.0,29.863,8.0,67.5
2023-04-13 18:00:00,4.1,0.0,45.0,29.893,3.0,67.5
2023-04-13 19:00:00,3.8,0.0,47.0,29.935,1.0,67.5
2023-04-13 20:00:00,3.7,0.0,41.0,29.956,0.0,270.0
2023-04-13 21:00:00,0.5,0.0,51.0,29.96,2.0,315.0
2023-04-13 22:00:00,-0.3,0.0,57.0,29.955,1.0,292.5
2023-04-13 23:00:00,-1.3,0.0,56.0,29.942,4.0,337.5
2023-04-14 00:00:00,-2.2,0.0,59.0,29.921,3.0,337.5
2023-04-14 01:00:00,-3.2,0.0,59.0,29.897,2.0,315.0
2023-04-14 02:00:00,-5.9,0.0,76.0,29.902,2.0,292.5
2023-04-14 03:00:00,-4.9,0.0,71.0,29.9,2.0,292.5
2023-04-14 04:00:00,-6.8,0.0,78.0,29.91,2.0,292.5
2023-04-14 05:00:00,-5.1,9.0,68.0,29.929,2.0,315.0
2023-04-14 06:00:00,-1.3,178.0,68.0,29.94,4.0,315.0
2023-04-14 07:00:00,4.6,439.0,46.0,29.943,5.0,315.0
2023-04-14 08:00:00,8.5,651.0,33.0,29.947,4.0,292.5
2023-04-14 09:00:00,10.3,815.0,29.0,29.936,11.0,247.5
2023-04-14 10:00:00,11.4,913.0,23.0,29.919,10.0,225.0
2023-04-14 11:00:00,12.2,940.0,21.0,29.894,6.0,202.5
2023-04-14 12:00:00,13.0,894.0,21.0,29.872,5.0,180.0
2023-04-14 13:00:00,13.3,781.0,20.0,29.846,4.0,202.5
2023-04-14 14:00:00,13.3,607.0,21.0,29.827,4.0,315.0
2023-04-14 15:00:00,12.2,387.0,30.0,29.816,5.0,315.0
2023-04-14 16:00:00,8.9,115.0,37.0,29.824,15.0,45.0
2023-04-14 17:00:00,5.6,2.0,45.0,29.869,6.0,67.5
2023-04-14 18:00:00,4.2,0.0,60.0,29.892,3.0,112.5
2023-04-14 19:00:00,2.6,0.0,64.0,29.934,2.0,90.0
2023-04-14 20:00:00,2.9,0.0,49.0,29.953,0.0,270.0
2023-04-14 21:00:00,0.3,0.0,66.0,29.951,1.0,315.0
2023-04-14 22:00:00,-0.4,0.0,61.0,29.947,2.0,337.5
2023-04-14 23:00:00,-1.0,0.0,57.0,29.939,3.0,315.0
2023-04-15 00:00:00,-1.4,0.0,58.0,29.919,2.0,315.0
2023-04-15 01:00:00,-2.6,0.0,65.0,29.908,2.0,292.5
2023-04-15 02:00:00,-3.1,0.0,69.0,29.907,1.0,315.0
2023-04-15 03:00:00,-2.6,0.0,61.0,29.907,3.0,337.5
2023-04-15 04:00:00,-4.5,0.0,68.0,29.903,3.0,337.5
2023-04-15 05:00:00,-5.9,7.0,80.0,29.912,2.0,292.5
2023-04-15 06:00:00,-0.4,157.0,72.0,29.928,3.0,292.5
2023-04-15 07:00:00,4.4,430.0,59.0,29.92,3.0,292.5
2023-04-15 08:00:00,8.5,644.0,38.0,29.91,6.0,225.0
2023-04-15 09:00:00,10.3,808.0,34.0,29.904,7.0,202.5
2023-04-15 10:00:00,11.0,912.0,29.0,29.885,6.0,180.0
2023-04-15 11:00:00,11.0,936.0,28.0,29.866,6.0,180.0
2023-04-15 12:00:00,12.8,893.0,26.0,29.84,4.0,202.5
2023-04-15 13:00:00,13.2,786.0,26.0,29.807,5.0,292.5
2023-04-15 14:00:00,13.8,660.0,28.0,29.782,3.0,180.0
2023-04-15 15:00:00,12.0,237.0,30.0,29.785,6.0,315.0
2023-04-15 16:00:00,9.1,84.0,34.0,29.812,11.0,45.0
2023-04-15 17:00:00,6.2,2.0,44.0,29.833,10.0,45.0
2023-04-15 18:00:00,4.6,0.0,52.0,29.856,4.0,112.5
2023-04-15 19:00:00,3.4,0.0,50.0,29.887,1.0,67.5
2023-04-15 20:00:00,2.8,0.0,55.0,29.906,0.0,270.0
2023-04-15 21:00:00,1.4,0.0,64.0,29.923,2.0,292.5
2023-04-15 22:00:00,-0.1,0.0,67.0,29.931,1.0,315.0
2023-04-15 23:00:00,-1.0,0.0,70.0,29.917,0.0,292.5
2023-04-16 00:00:00,-2.2,0.0,71.0,29.903,2.0,315.0
2023-04-16 01:00:00,-2.3,0.0,68.0,29.886,2.0,315.0
2023-04-16 02:00:00,-4.5,0.0,74.0,29.877,2.0,315.0
2023-04-16 03:00:00,-5.9,0.0,79.0,29.882,2.0,292.5
2023-04-16 04:00:00,-4.4,0.0,80.0,29.885,2.0,315.0
2023-04-16 05:00:00,-4.6,6.0,75.0,29.905,3.0,315.0
2023-04-16 06:00:00,-1.2,163.0,75.0,29.922,3.0,315.0
2023-04-16 07:00:00,5.7,430.0,53.0,29.934,4.0,292.5
2023-04-16 08:00:00,8.0,641.0,42.0,29.927,6.0,202.5
2023-04-16 09:00:00,9.9,805.0,38.0,29.913,6.0,202.5
2023-04-16 10:00:00,10.5,901.0,30.0,29.901,9.0,270.0
2023-04-16 11:00:00,11.8,925.0,29.0,29.879,7.0,270.0
2023-04-16 12:00:00,12.4,880.0,30.0,29.849,6.0,202.5
2023-04-16 13:00:00,12.8,748.0,27.0,29.827,5.0,315.0
2023-04-16 14:00:00,13.1,585.0,26.0,29.805,5.0,270.0
2023-04-16 15:00:00,12.7,364.0,27.0,29.809,5.0,270.0
2023-04-16 16:00:00,10.2,110.0,34.0,29.822,7.0,270.0
2023-04-16 17:00:00,6.2,2.0,43.0,29.836,7.0,67.5
2023-04-16 18:00:00,4.8,0.0,43.0,29.88,5.0,45.0
2023-04-16 19:00:00,2.7,0.0,52.0,29.919,2.0,112.5
2023-04-16 20:00:00,2.8,0.0,51.0,29.946,1.0,112.5
2023-04-16 21:00:00,3.5,0.0,57.0,29.947,1.0,337.5
2023-04-16 22:00:00,0.3,0.0,64.0,29.946,2.0,0.0
2023-04-16 23:00:00,-0.9,0.0,66.0,29.946,1.0,0.0
2023-04-17 00:00:00,-3.2,0.0,77.0,29.932,1.0,292.5
2023-04-17 01:00:00,-3.2,0.0,75.0,29.926,1.0,315.0
2023-04-17 02:00:00,-4.4,0.0,76.0,29.907,2.0,315.0
2023-04-17 03:00:00,-4.3,0.0,74.0,29.894,2.0,315.0
2023-04-17 04:00:00,-5.3,0.0,77.0,29.908,2.0,337.5
2023-04-17 05:00:00,-4.2,9.0,78.0,29.932,2.0,315.0
2023-04-17 06:00:00,-1.1,163.0,76.0,29.947,4.0,315.0
2023-04-17 07:00:00,4.9,428.0,60.0,29.95,4.0,292.5
2023-04-17 08:00:00,9.1,640.0,38.0,29.955,4.0,202.5
