Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ATICO CEN:Zone Mean Air Temperature [C](Hourly),ATICO E:Zone Mean Air Temperature [C](Hourly),MODULO:Zone Mean Air Temperature [C](Hourly),ATICO O:Zone Mean Air Temperature [C](Hourly) 
 10/16  20:00:00,2.0375,1.8140641084809659,2.2633225417215496,6.6707200661440739,1.9009218125549526 
 10/16  21:00:00,0.8875,0.8839187998332336,1.2204797365512399,6.221717019043004,0.8689988484453969 
 10/16  22:00:00,-0.22499999999999999,-0.13683794210807508,0.03253795150333552,5.796856033830856,-0.3127150466848773 
 10/16  23:00:00,-0.9125000000000001,-0.8506971446042856,-0.795337428083089,5.484445073732113,-1.1311072331693515 
 10/16  24:00:00,-2.0375,-1.6074737590103126,-1.6822945856652514,5.119584729428871,-2.0080426147057328 
 10/17  01:00:00,-3.2875000000000007,-2.532517480367021,-2.6985597160885774,4.710867608465591,-3.009082210779079 
 10/17  02:00:00,-4.075,-3.2873792553387566,-3.601147116434395,4.348267788740524,-3.9006983026201569 
 10/17  03:00:00,-4.487499999999999,-3.7466230961628614,-4.162232017974738,4.064035891914927,-4.448392946940821 
 10/17  04:00:00,-5.4125000000000009,-4.292597020591499,-4.776881638080056,3.711078639559257,-5.04882045499817 
 10/17  05:00:00,-6.025,-4.884355831204461,-5.462799605734983,3.362408135211454,-5.721074985006037 
 10/17  06:00:00,-6.4125,0.9568118756043826,-0.5386363566729739,3.4096094537052759,-0.08161535279217924 
 10/17  07:00:00,-4.2875,14.471560871040867,10.175618244118909,5.913539278588582,12.068179405353869 
 10/17  08:00:00,1.4125,28.90349887474006,22.03052869091093,8.028965261105679,25.377273083285947 
 10/17  09:00:00,6.687500000000001,39.41266949394684,32.34651914566659,11.991127595156148,35.48631837458354 
 10/17  10:00:00,9.6125,43.165244581299109,36.92052618840545,14.097554099510776,39.50685316139493 
 10/17  11:00:00,11.275000000000003,41.43549864809862,37.25231552246316,15.158686889120507,38.36354007376338 
 10/17  12:00:00,12.3,39.428713250335757,37.4575747455315,15.741329983923638,37.523060213799997 
 10/17  13:00:00,13.599999999999998,40.174425193938599,38.543458197274237,16.38134188197796,37.79433328720371 
 10/17  14:00:00,13.95,39.67778006448998,37.025400978810747,16.44509577346906,34.5398064817844 
 10/17  15:00:00,13.3,34.97034439308489,31.05211588253703,15.50323324668023,27.652583987172503 
 10/17  16:00:00,11.4375,26.033901025698066,23.425430738619096,13.861331710170419,20.460212706476005 
 10/17  17:00:00,8.5625,13.026394006501674,12.792735170724495,11.34386153411267,11.674480749604232 
 10/17  18:00:00,5.4,6.340374556639815,7.021554170678748,9.47988876650735,6.497524432224503 
 10/17  19:00:00,2.5125,3.0377552318804437,3.6676579610005044,7.600700939863709,3.238853948402585 
 10/17  20:00:00,0.25,0.8554229046612312,1.3154996334429113,6.679670790650521,0.9042033966448466 
 10/17  21:00:00,-0.9375,-0.5780175006413317,-0.28458618443498848,6.087212909896055,-0.6848229644502129 
 10/17  22:00:00,-1.5125,-1.6094820098067587,-1.5106375035980185,5.7034501038615039,-1.9112249239839976 
 10/17  23:00:00,-2.7624999999999999,-2.34555381975414,-2.38383969233193,5.292875508693871,-2.7621709009760746 
 10/17  24:00:00,-5.025,-3.5750437977677329,-3.723716034764375,4.6906692781999699,-4.073625419194821 
 10/18  01:00:00,-6.6875,-4.918171940290021,-5.244319696705377,4.099178985988029,-5.573655334356624 
 10/18  02:00:00,-6.9125,-5.495506818129917,-5.996386023819517,3.7609881793611694,-6.307431099641601 
 10/18  03:00:00,-7.05,-5.702311614958089,-6.2819031590630109,3.515382688905561,-6.574605036946895 
 10/18  04:00:00,-8.262500000000001,-6.375911401569564,-7.0179112965829779,3.095237636817709,-7.292424257085796 
 10/18  05:00:00,-8.775,-7.036501435717308,-7.810253999827321,2.7087300065329305,-8.06982163943388 
 10/18  06:00:00,-8.200000000000001,-0.704534854191085,-2.4789035847518665,2.888873782031424,-1.9922011089021368 
